"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Pull Up",,"",0,"normal",,10,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Pull Up",,"",1,"normal",,8,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Pull Up",,"",2,"normal",,8,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Lat Pulldown - Close Grip (Cable)",,"",0,"warmup",100,6,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",160,9,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Lat Pulldown (Cable)",,"",0,"normal",180,6,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Lat Pulldown (Cable)",,"",1,"normal",180,6,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Single Arm Cable Row",,"",0,"warmup",29,7,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Bent Over Row (Smith Machine)",,"",0,"warmup",70,6,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Bent Over Row (Smith Machine)",,"",1,"normal",120,6,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Seated Cable Row - V Grip (Cable)",,"",0,"warmup",100,7,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",160,12,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",160,13,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Seated Cable Row - Bar Grip",,"",0,"normal",160,8,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Seated Cable Row - Bar Grip",,"",1,"normal",145,14,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Preacher Curl (Machine)",,"",0,"warmup",80,5,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Preacher Curl (Machine)",,"",1,"normal",125,6,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Preacher Curl (Machine)",,"",2,"normal",110,9,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Preacher Curl (Machine)",,"",3,"normal",110,7,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Single Arm Hammer Curl (Cable)",,"",0,"normal",29,8,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Single Arm Hammer Curl (Cable)",,"",1,"normal",27.5,8,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Single Arm Hammer Curl (Cable)",,"",2,"normal",27.5,7,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Cable Crunch",,"",0,"normal",100,13,,,
"PULL","28 Jul 2026, 17:09","28 Jul 2026, 18:27","","Cable Crunch",,"",1,"normal",100,11,,,
"PUSH","27 Jul 2026, 18:03","27 Jul 2026, 19:29","Been a few days everything feels heavier","Bench Press (Smith Machine)",,"",0,"warmup",110,4,,,
"PUSH","27 Jul 2026, 18:03","27 Jul 2026, 19:29","Been a few days everything feels heavier","Bench Press (Smith Machine)",,"",1,"warmup",160,4,,,
"PUSH","27 Jul 2026, 18:03","27 Jul 2026, 19:29","Been a few days everything feels heavier","Bench Press (Smith Machine)",,"",2,"normal",160,8,,,
"PUSH","27 Jul 2026, 18:03","27 Jul 2026, 19:29","Been a few days everything feels heavier","Bench Press (Smith Machine)",,"",3,"normal",160,9,,,
"PUSH","27 Jul 2026, 18:03","27 Jul 2026, 19:29","Been a few days everything feels heavier","Incline Bench Press (Smith Machine)",,"",0,"warmup",110,4,,,
"PUSH","27 Jul 2026, 18:03","27 Jul 2026, 19:29","Been a few days everything feels heavier","Incline Bench Press (Smith Machine)",,"",1,"normal",130,10,,,
